Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000050	2018-12-31	A	C39	5.217941	69.950963	8.587238	42.504936	4.81696		6.407127	1.926872	1.052284	0.682042	0.503738	1.145225	计算机、通信和其他电子设备制造业
000050	2018-12-31	B	C39	3.529564	103.412206	9.50187	38.413491	2.684533	2.260483	2.127215	0.396289	6.750629	0.144536	0.105908	0.153901	计算机、通信和其他电子设备制造业
000050	2019-12-31	A	C39	5.131994	71.122453	7.791552	46.845609	4.523111		8.772817	2.093029	1.053365	0.627268	0.482627	1.14896	计算机、通信和其他电子设备制造业
000050	2019-12-31	B	C39	3.425078	106.566916	8.406051	43.421102	4.302704	2.306509	4.077726	0.391921	6.420474	0.107267	0.084217	0.121226	计算机、通信和其他电子设备制造业
000050	2020-12-31	A	C39	5.339386	68.547207	6.920009	52.890105	4.131354		7.527265	2.007944	1.063965	0.532028	0.420588	0.96997	计算机、通信和其他电子设备制造业
000050	2020-12-31	B	C39	2.954363	123.884573	8.205623	44.60356	2.462335	1.026226	2.418024	0.320654	6.619167	0.109837	0.081813	0.122436	计算机、通信和其他电子设备制造业
000050	2021-12-31	A	C39	5.384163	67.79141	7.257126	50.295392	4.422876		7.484422	1.98839	1.248167	0.521897	0.413393	0.930122	计算机、通信和其他电子设备制造业
000050	2021-12-31	B	C39	3.249519	112.324316	7.241492	50.403978	2.785905	0.771375	1.938507	0.314994	7.735531	0.127105	0.090562	0.13931	计算机、通信和其他电子设备制造业
000063	2016-12-31	A	C39	3.950604	92.644062	3.012341	121.500189	2.910145	3.720212	3.572928	0.95466	13.312784	3.722468	0.759802	2.403627	计算机、通信和其他电子设备制造业
000063	2016-12-31	B	C39	2.383656	153.545646	4.858161	75.337149	2.015293	83.895289	5.495444	0.925561	20.543195	3.131431	0.714404	3.791026	计算机、通信和其他电子设备制造业
000063	2017-12-31	A	C39	4.322915	84.433767	2.828023	129.065428	3.070332	5.605951	3.617586	0.984385	13.42512	3.373046	0.762003	2.522807	计算机、通信和其他电子设备制造业
000063	2017-12-31	B	C39	2.848724	128.127541	4.662807	78.279028	2.019486		5.853675	0.950725	20.409408	2.879566	0.714744	3.862385	计算机、通信和其他电子设备制造业
000063	2018-12-31	A	C39	3.723013	98.038873	2.238929	163.024375	2.659479	6.379856	3.33753	0.850546	9.721533	2.367647	0.625753	2.183106	计算机、通信和其他电子设备制造业
000063	2018-12-31	B	C39	2.707339	134.818728	4.019188	90.814363	1.730069		5606.058182	0.843611	14.915239	2.10576	0.602312	3.213264	计算机、通信和其他电子设备制造业
000063	2019-12-31	A	C39	4.293477	85.012683	2.163509	168.70741	3.009707	7.240668	3.655791	0.928656	9.926571	2.415196	0.670749	2.559025	计算机、通信和其他电子设备制造业
000063	2019-12-31	B	C39	2.94092	124.110822	3.713578	98.287958	2.024411		7.945994	0.883559	14.529123	2.135378	0.624966	3.452102	计算机、通信和其他电子设备制造业
000063	2020-12-31	A	C39	5.688403	64.341433	2.260726	161.894896	3.90788	3.840599	3.386834	0.968297	9.527034	2.465609	0.695256	2.413286	计算机、通信和其他电子设备制造业
000063	2020-12-31	B	C39	4.214983	86.83309	4.250274	86.112095	2.169775	10.095107	6.249377	0.885385	15.991818	2.405424	0.647174	3.017407	计算机、通信和其他电子设备制造业
000063	2021-12-31	A	C39	6.857567	53.225874	2.118669	172.277973	3.815886	2.644997	3.250056	0.975282	9.808734	2.708969	0.717109	2.304023	计算机、通信和其他电子设备制造业
000063	2021-12-31	B	C39	5.421845	67.320257	5.065672	72.053619	2.328495	4.949717	5.894944	1.005099	18.419657	2.708969	0.7331	2.720717	计算机、通信和其他电子设备制造业
000066	2016-12-31	A	C39	11.552791	31.680656	13.757476	26.603717	8.50729	11.161531	16.07351	2.001315	32.765945	12.306731	1.721384	7.593039	计算机、通信和其他电子设备制造业
000066	2016-12-31	B	C39	7.450417	49.124767	13.379892	27.354481	5.071954	8.337217	8.457	1.178824	5.879196	0.756259	0.460702	0.932839	计算机、通信和其他电子设备制造业
000066	2017-12-31	A	C39	4.81472	75.809185	3.942221	92.587402	4.049292	1.39792	1.843822	0.361609	5.13659	1.309974	0.283383	0.810172	计算机、通信和其他电子设备制造业
000066	2017-12-31	B	C39	8.696943	41.96877	14.462087	25.238404	6.031303	6.194325	6.399831	1.123711	5.348928	0.502069	0.347021	0.61539	计算机、通信和其他电子设备制造业
000066	2018-12-31	A	C39	3.895582	93.695884	4.324593	84.401006	4.045083	4.130876	3.257042	1.151477	5.296978	1.448725	0.641555	1.408893	计算机、通信和其他电子设备制造业
000066	2018-12-31	B	C39	9.607017	37.993063	13.094864	27.873524	5.988894		3.597178	1.336085	5.085822	0.333649	0.266979	0.486824	计算机、通信和其他电子设备制造业
000066	2019-12-31	A	C39	3.626911	100.636602	2.903951	125.690826	3.261429	3.223098	3.080683	0.92245	4.60567	1.442124	0.562591	1.349636	计算机、通信和其他电子设备制造业
000066	2019-12-31	B	C39	6.709785	54.398166	1.686302	216.44996	3.382949		2.627963	0.626523	3.846739	0.222349	0.164108	0.35158	计算机、通信和其他电子设备制造业
000066	2020-12-31	A	C39	4.297799	85.159869	2.41776	151.37979	3.416366	2.565502	3.516124	0.88645	5.085513	1.739671	0.587228	1.605318	计算机、通信和其他电子设备制造业
000066	2020-12-31	B	C39	7.465319	49.026706	1.434873	255.074839	3.570359		4.138136	0.583489	6.440085	0.33903	0.214435	0.594478	计算机、通信和其他电子设备制造业
000068	2016-12-31	A	C39	2.517169	145.401441	23.150621	15.809511	1.727128	1.064176	0.789696	0.511925	1.547156	0.654651	0.287278	0.406701	计算机、通信和其他电子设备制造业
000068	2016-12-31	B	C39	1.421289	257.512723	105.57309	3.466793	3.143302	4.972839	0.699432	0.390455	0.413943	0.136086	0.100914	0.132512	计算机、通信和其他电子设备制造业
000068	2017-12-31	A	C39	2.228924	163.756144	20.737563	17.600911	0.550534		0.701321	0.438201	2.24574	0.369882	0.200577	0.436152	计算机、通信和其他电子设备制造业
000068	2017-12-31	B	C39	2.31637	157.574135	9324.601727	0.039144	2.899982		2.749914	0.674126	1.376603	0.290633	0.20308	0.41659	计算机、通信和其他电子设备制造业
000068	2018-12-31	A	C39	0.932783	391.302157	8.739667	41.763605	0.195455		0.348049	0.182054	1.191447	0.103325	0.065915	0.202959	计算机、通信和其他电子设备制造业
000068	2018-12-31	B	C39	0.404081	903.284243	71.577633	5.099358	0.434861		0.510102	0.111827	0.315288	0.053523	0.036198	0.094454	计算机、通信和其他电子设备制造业
000068	2019-12-31	A	C39	1.094081	333.613325	5.953678	61.306641	0.217582		0.40858	0.195696	1.283663	0.09132	0.062265	0.237708	计算机、通信和其他电子设备制造业
000068	2019-12-31	B	C39	0.220184	1657.704465	4.442403	82.162739	0.175336		0.186347	0.056598	0.140118	0.02193	0.015806	0.043555	计算机、通信和其他电子设备制造业
000070	2016-12-31	A	C38	3.741	97.834804	3.614197	101.267308	4.865495	6.744246	9.767947	1.474065	8.258574	3.234684	1.012612	2.389938	电气机械及器材制造业
000070	2016-12-31	B	C38	3.791281	96.537292	6.158879	59.426399	6.270177		12.07443	1.829637	13.172797	1.203162	0.725848	1.432696	电气机械及器材制造业
000070	2017-12-31	A	C38	3.139676	116.254034	3.594072	101.556118	3.797558	6.233659	8.276558	1.349281	9.432468	3.6007	0.98149	2.474538	电气机械及器材制造业
000070	2017-12-31	B	C38	3.679742	99.191737	8.013114	45.550332	5.392026		9.420647	1.801989	14.266784	1.087871	0.678348	1.393646	电气机械及器材制造业
