Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
600779	2018-12-31	A	C15	0.240072	0.193574	0.254534	1.234494	0.337172	0.28528	0.412299	0.818659	0.181341	0.276843	0.205547	0.303057	0.095659	-0.004772	0	0.00086	酒、饮料和精制茶制造业
600779	2019-12-31	A	C15	0.301454	0.231323	0.300913	1.569354	0.416386	0.350976	0.535245	0.828664	0.171336	0.311315	0.233499	0.300792	0.070594	-0.006523		0.000649	酒、饮料和精制茶制造业
600779	2020-12-31	A	C15	0.224953	0.175953	0.231868	1.373432	0.344317	0.308003	0.436277	0.841866	0.158134	0.32095	0.243312	0.27974	0.092991	-0.00764		0.000596	酒、饮料和精制茶制造业
600781	2016-12-31	A	C27	0.054864	0.018132	0.065881	0.027823	0.052096	0.053607	0.100389	0.426223	0.573777	0.039354	0.044859	0.186873	0.10418	0.077461	0.052841		医药制造业
600781	2017-12-31	A	C27	0.125602	0.083108	0.156941	0.229332	0.173368	0.114646	0.222953	0.403608	0.596392	0.165265	0.133696	0.10021	0.085904	0.03601	0.053206		医药制造业
600781	2018-12-31	A	C27	0.131293	0.086734	0.163962	0.247683	0.1764	0.119476	0.231364	0.440038	0.559962	0.176769	0.141396	0.129931	0.04166	0.038702	4.868293	0.03624	医药制造业
600781	2019-12-31	A	C27	0.089363	0.041072	0.074395	0.121919	0.081525	0.086283	0.160648	0.430806	0.569194	0.127144	0.08917	0.130138	0.046347	0.068075		0.041132	医药制造业
600781	2020-12-31	A	C27	-0.070311	-0.119801	-0.213196	-0.345885	-0.284498	-0.084236	-0.141567	0.431257	0.568743	-0.476846	-0.460552	0.175388	0.088688	0.220059		0.04227	医药制造业
600784	2020-12-31	A	C14	0.058047	0.035437	0.094595	0.115257	0.105864	0.067061	0.14892	0.152583	0.847417	0.069494	0.069608	0.015727	0.064444	0.039485	0.34346	0.023492	食品制造业
600784	2021-12-31	A	C14	0.073072	0.052189	0.14493	0.168485	0.12623	0.082711	0.148174	0.197369	0.802631	0.08696	0.077521	0.019355	0.076382	0.023336	0.342766	0.030823	食品制造业
600789	2016-12-31	A	C27	0.015423	0.0072	0.016035	0.018889	0.015181	0.01623	0.025035	0.234896	0.765104	0.010566	0.011776	0.093717	0.096331	0.010804	0.360473		医药制造业
600789	2017-12-31	A	C27	0.039502	0.02749	0.064202	0.081412	0.063188	0.039306	0.061209	0.27291	0.72709	0.049678	0.049601	0.114325	0.081987	0.017429	0.082744		医药制造业
600789	2018-12-31	A	C27	0.036943	0.029472	0.06771	0.088199	0.067086	0.034871	0.055945	0.311481	0.688519	0.056186	0.052088	0.146228	0.041971	0.007534	0.072292	0.037727	医药制造业
600789	2019-12-31	A	C27	0.028489	0.018861	0.046667	0.05263	0.041257	0.028271	0.047557	0.282819	0.717181	0.035618	0.034502	0.145732	0.038569	0.012247	0.156361	0.037734	医药制造业
600789	2020-12-31	A	C27	0.045941	0.032514	0.091698	0.076938	0.071502	0.04859	0.082123	0.233081	0.766919	0.062991	0.055524	0.10944	0.037841	0.016109	0.043736	0.04581	医药制造业
600796	2016-12-31	A	C26	0.050475	0.038271	0.081236	0.098069	0.065297	0.048317	0.069188	0.280389	0.719611	0.056008	0.090563	0.019979	0.14635	0.013149	-0.147683		化学原料及化学制品制造业
600796	2017-12-31	A	C26	0.056482	0.045615	0.104416	0.11529	0.07301	0.05671	0.075102	0.211093	0.788907	0.120292	0.101393	0.017374	0.109919	0.014298	0.201873		化学原料及化学制品制造业
600796	2018-12-31	A	C26	-0.031845	-0.039153	-0.089745	-0.096325	-0.061218	-0.043841	-0.041934	0.154871	0.845129	-0.075605	-0.088289	0.01604	0.101004	0.007025	-0.628048	0.035942	化学原料及化学制品制造业
600796	2019-12-31	A	C26	0.035967	0.029182	0.065302	0.069282	0.042608	0.035683	0.044782	0.120371	0.879629	0.084752	0.069878	0.01659	0.096133	0.005235	3.661508	0.034405	化学原料及化学制品制造业
600796	2020-12-31	A	C26	0.01494	0.007964	0.02095	0.022815	0.01228	0.012965	0.01952	0.098703	0.901297	0.029779	0.018863	0.001221	0.081711	0.006925	1.005015	0.02593	化学原料及化学制品制造业
600800	2016-12-31	A	C39	0.019476	0.019938	0.041041	0.178684	0.160766	0.131626	0.107411	0.187027	0.812973	-0.647277	0.094166	0.069329	0.677786	-0.002186	-0.005821		计算机、通信和其他电子设备制造业
600800	2017-12-31	A	C39	-0.108334	-0.108371	-0.236531	-0.923427	-1.133453	-1.638641	-0.972542	0.192041	0.807959	-0.426816	-0.428319	0.041253	0.483268	0.000148	-0.048821		计算机、通信和其他电子设备制造业
600800	2018-12-31	A	C39	0.12864	0.128177	0.251152	1.138595	1.025924	0.537545	0.953374	0.193126	0.806874	0.501576	0.493997	0.022741	0.375916	0.001783	0.275372	0.066148	计算机、通信和其他电子设备制造业
